strategy,param,seed,total_reward,final_reward
epsilon_greedy,0.05,0,0.0,0.0
epsilon_greedy,0.05,1,0.0,0.0
epsilon_greedy,0.05,2,0.0,0.0
epsilon_greedy,0.05,3,0.0,0.0
epsilon_greedy,0.05,4,0.0,0.0
epsilon_greedy,0.05,5,0.0,0.0
epsilon_greedy,0.05,6,0.0,0.0
epsilon_greedy,0.05,7,0.0,0.0
epsilon_greedy,0.05,8,0.0,0.0
epsilon_greedy,0.05,9,0.0,0.0
epsilon_greedy,0.05,10,0.0,0.0
epsilon_greedy,0.05,11,0.0,0.0
epsilon_greedy,0.05,12,0.0,0.0
epsilon_greedy,0.05,13,0.0,0.0
epsilon_greedy,0.05,14,0.0,0.0
epsilon_greedy,0.05,15,0.0,0.0
epsilon_greedy,0.05,16,0.0,0.0
epsilon_greedy,0.05,17,0.0,0.0
epsilon_greedy,0.05,18,0.0,0.0
epsilon_greedy,0.05,19,0.0,0.0
epsilon_greedy,0.1,0,0.0,0.0
epsilon_greedy,0.1,1,0.0,0.0
epsilon_greedy,0.1,2,0.0,0.0
epsilon_greedy,0.1,3,0.0,0.0
epsilon_greedy,0.1,4,0.0,0.0
epsilon_greedy,0.1,5,0.0,0.0
epsilon_greedy,0.1,6,0.0,0.0
epsilon_greedy,0.1,7,0.0,0.0
epsilon_greedy,0.1,8,0.0,0.0
epsilon_greedy,0.1,9,0.0,0.0
epsilon_greedy,0.1,10,0.0,0.0
epsilon_greedy,0.1,11,0.0,0.0
epsilon_greedy,0.1,12,0.0,0.0
epsilon_greedy,0.1,13,0.0,0.0
epsilon_greedy,0.1,14,0.0,0.0
epsilon_greedy,0.1,15,0.0,0.0
epsilon_greedy,0.1,16,0.0,0.0
epsilon_greedy,0.1,17,0.0,0.0
epsilon_greedy,0.1,18,0.0,0.0
epsilon_greedy,0.1,19,0.0,0.0
epsilon_greedy,0.2,0,0.0,0.0
epsilon_greedy,0.2,1,0.0,0.0
epsilon_greedy,0.2,2,0.0,0.0
epsilon_greedy,0.2,3,0.0,0.0
epsilon_greedy,0.2,4,0.0,0.0
epsilon_greedy,0.2,5,0.0,0.0
epsilon_greedy,0.2,6,0.0,0.0
epsilon_greedy,0.2,7,0.0,0.0
epsilon_greedy,0.2,8,0.0,0.0
epsilon_greedy,0.2,9,0.0,0.0
epsilon_greedy,0.2,10,0.0,0.0
epsilon_greedy,0.2,11,0.0,0.0
epsilon_greedy,0.2,12,0.0,0.0
epsilon_greedy,0.2,13,0.0,0.0
epsilon_greedy,0.2,14,0.0,0.0
epsilon_greedy,0.2,15,0.0,0.0
epsilon_greedy,0.2,16,0.0,0.0
epsilon_greedy,0.2,17,0.0,0.0
epsilon_greedy,0.2,18,0.0,0.0
epsilon_greedy,0.2,19,0.0,0.0
epsilon_greedy,0.3,0,0.0,0.0
epsilon_greedy,0.3,1,0.0,0.0
epsilon_greedy,0.3,2,0.0,0.0
epsilon_greedy,0.3,3,0.0,0.0
epsilon_greedy,0.3,4,0.0,0.0
epsilon_greedy,0.3,5,0.0,0.0
epsilon_greedy,0.3,6,0.0,0.0
epsilon_greedy,0.3,7,0.0,0.0
epsilon_greedy,0.3,8,0.0,0.0
epsilon_greedy,0.3,9,0.0,0.0
epsilon_greedy,0.3,10,0.0,0.0
epsilon_greedy,0.3,11,0.0,0.0
epsilon_greedy,0.3,12,0.0,0.0
epsilon_greedy,0.3,13,0.0,0.0
epsilon_greedy,0.3,14,0.0,0.0
epsilon_greedy,0.3,15,0.0,0.0
epsilon_greedy,0.3,16,0.0,0.0
epsilon_greedy,0.3,17,0.0,0.0
epsilon_greedy,0.3,18,0.0,0.0
epsilon_greedy,0.3,19,0.0,0.0
epsilon_greedy,0.5,0,0.0,0.0
epsilon_greedy,0.5,1,0.0,0.0
epsilon_greedy,0.5,2,0.0,0.0
epsilon_greedy,0.5,3,0.0,0.0
epsilon_greedy,0.5,4,0.0,0.0
epsilon_greedy,0.5,5,0.0,0.0
epsilon_greedy,0.5,6,0.0,0.0
epsilon_greedy,0.5,7,0.0,0.0
epsilon_greedy,0.5,8,0.0,0.0
epsilon_greedy,0.5,9,0.0,0.0
epsilon_greedy,0.5,10,0.0,0.0
epsilon_greedy,0.5,11,0.0,0.0
epsilon_greedy,0.5,12,0.0,0.0
epsilon_greedy,0.5,13,0.0,0.0
epsilon_greedy,0.5,14,0.0,0.0
epsilon_greedy,0.5,15,0.0,0.0
epsilon_greedy,0.5,16,0.0,0.0
epsilon_greedy,0.5,17,0.0,0.0
epsilon_greedy,0.5,18,0.0,0.0
epsilon_greedy,0.5,19,0.0,0.0
softmax,0.05,0,2182.0,1.0
softmax,0.05,1,3543.0,1.0
softmax,0.05,2,3574.0,1.0
softmax,0.05,3,3076.0,1.0
softmax,0.05,4,2590.0,1.0
softmax,0.05,5,1194.0,1.0
softmax,0.05,6,2790.0,1.0
softmax,0.05,7,2733.0,1.0
softmax,0.05,8,2087.0,1.0
softmax,0.05,9,2642.0,1.0
softmax,0.05,10,2747.0,1.0
softmax,0.05,11,2920.0,1.0
softmax,0.05,12,2659.0,1.0
softmax,0.05,13,3766.0,1.0
